PartNo,Description,Logic,Category
GH96-13007A,ASSY SUB PBA-USB (SM-A908B)
GH81-17414A,A/S-TAPE BACKGLASS OUTER
GH98-44656B,ASSY SIM TRAY-SINGLE_ZW
GH82-20741B,SVC COVER ASSY-B/G
GH82-21092B,"SVC ASSY SMT-OCTA(E/ZW)SM-A908B,BTU,SVC"
GH39-01999A,DATA LINK CABLE-EP-DR140AWE
GH97-17697A,"SVC ASSY SMT-OCTA,(E/BLK),SM-T710"
GH98-37707A,ASSY BRACKET-FRONT_WIFI
GH81-13016A,"A/S-TAPE TSP PANEL_2;SM-T715,AD50"
GH82-19563A,"SVC ASSY SMT-LCD(E/ZK),SM-T515N,ITV,SVC"
GH02-18076A,TAPE DOUBLE FACE-MAIN WINDOW FRON SIDE L
GH02-18075A,TAPE DOUBLE FACE-MAIN WINDOW FRONT BTM
GH02-18077A,TAPE DOUBLE FACE-MAIN WINDOW FRON SIDE R
GH02-18078A,TAPE DOUBLE FACE-MAIN WINDOW FRONT TOP
GH02-15867A,TAPE DOUBLE FACE-BACK GLASS ISLAND TOP
GH02-15868A,TAPE DOUBLE FACE-BACK GLASS ISLAND BTM
GH98-42650A,ASSY SIM TRAY-(DS)_ZK
GH82-19768A,"A/S REWORK KIT-SVC;SM-G977,COMMON KIT;SM"
GH82-19750A,"SVC BATTERY ASSY-EB-BG977ABU,30,SM-G977"
GH82-20442A,"SVC ASSY SMT-OCTA(E/ZS/PF)SM-G977B,SVC"
GH98-44514A,ASSY SIM TRAY-SINGLE
GH82-20838A,"SVC ASSY SMT-OCTA(E/ZK/PF)SM-N975,XEF,AS"
GH82-18407E,SVC COVER ASSY-B/G
GH82-18407A,SVC COVER ASSY-B/G;COMM1_TCL_ZK_G975_KR;
GH96-11938E,ASSY US FP-SM_G960F(HAZE GOLD)
GH81-15118A,"SVC JIG-SILICON HEATER UPPER;1190527900,"
GH82-16008A,"SVC PBA-MAIN(COMM),SM-G965F/128,"
GH81-17068A,A/S-TAPE BG TOP CS
GH81-17066A,A/S-TAPE BG OUTER_CS
GH59-11704A,CAMERA MODULE-2M VT LSI(GT-I9220)
GH59-12611A,KEY FPCB-TOUCH KEY FPCB(GT-N7100)
GH43-04216A,"INNER BATTERY PACK-EB-BG130BBE,1300MAH"
GH39-02022A,DATA LINK CABLE-EP-DG977BBE
GH98-43724C,ASSY SIM TRAY-DUAL
GH82-18406C,SVC COVER ASSY-B/G
GH02-17441A,TAPE DOUBLE FACE-OCTA MAIN WINDOW GFD
GH02-16499A,TAPE DOUBLE FACE-BATT
GH82-17513E,"SVC OPTION-SPEN,SM-N960F_COPPER,SVC,COMM"
GH81-14694A,A/S-OCTA COVER-PANEL
GH82-11587A,SVC PBA-PBA MAIN(COMM)
GH96-11716A,ASSY SPEAKER-MODULE-TOP LEFT(T835)
GH96-11715A,ASSY SPEAKER-MODULE-BOTTOM LEFT(T835)
GH96-11714A,ASSY SPEAKER-MODULE-BOTTOM RIGHT(T835)
GH82-16930B,SVC COVER ASSY-B/G
GH82-19580A,"A/S REPAIR KIT-SVC;SM-T515,BATT-KIT,COMM"
GH82-19579A,"A/S REWORK KIT-SVC;SM-T515,LCD-KIT,COMM;"
GH81-16857A,"A/S-BATTERY TAPE CS SVC;SM-T515,TESA 672"
GH96-11764A,ASSY SUB PBA-POGO FPCB_T595
GH96-11750A,"ASSY SUB PBA-IF FPCB,T595"
GH59-14928A,EAR JACK FPCB-SM-T595
GH59-14916A,CON TO CON FPCB-FPC-POGO FPCB_T595
GH59-14898A,MIC FPCB-SM-T595
GH96-12048A,ASSY SUB PBA-SIM/SD SOCKET_T597
GH96-11760A,"ASSY SPEAKER-MODULE-BOTTOM LEFT,SM-T590"
GH96-05432A,"ASSY LCD-3.47"" TFT LCD MODULE"
GH96-05518A,ASSY INHOUSE LCD-LCD MODULE (GT-S5830I)_
GH82-19338A,SVC COVER ASSY-REAR;COMM1_EUR_ZK_T515_VN
GH96-12718A,TOUCH SCREEN ASSY-GFF G398FN BLACK
GH98-44222A,ASSY KEY-3
GH98-41223A,ASSY KEY-3 KEY
GH82-19562A,"SVC SUB PBA-SM-T515N,SVC_SUB PBA,COMM"
GH96-12215A,ASSY US FP-SM_G970U (BLACK)
GH96-11758A,"ASSY SPEAKER-MODULE-TOP RIGHT,SM-T595"
GH59-14630A,KEY FPCB-TOUCH PBA
GH82-21108A,"SVC ASSY SMT-OCTA(E/SK)SM-R825,SUS,BLACK"
GH59-15226A,CON TO CON FPCB-NEW SM-A405FN
GH96-12214A,ASSY SPEAKER-SM_G970F
GH96-05893A,"ASSY CAMERA-1/3.2 LSI,8M(GT-N7100)"
GH82-10248A,"SVC PBA-PBA MAIN(COMM),SM-T715/M32;SVC;S"
3903-000444,POWER CORD-DT
6001-001460,"SCREW-MACHINE;CH,+,M1.4,L2.3,ZPC(BLK),SW"
GH02-10909A,TAPE PET-OCTA_BACK
GH02-11937A,TAPE DOUBLE FACE-MAIN WINDOW REAR TOP
GH02-11938A,TAPE DOUBLE FACE-MAIN WINDOW REAR BTM
GH02-14931A,THERMAL CONDUCTIVE SHEET-OCTA CU SHEET
GH02-17316A,TAPE WATERPROOF-BACK GLASS OUT
GH02-17979A,TAPE DOUBLE FACE-TAPE BATTERY
GH02-18439A,TAPE DOUBLE FACE-BATTERY
GH43-03797A,"INNER BATTERY PACK-MAIN,1500MAH,EUR"
GH43-04372A,"BATTERY-PACK,EB-BG530CBE,2600MAH"
GH43-04449B,"INNER BATTERY PACK-EB-BT710ABE,4000MAH"
GH59-14925A,EAR JACK FPCB-SM-J600F
GH59-14934A,UNIT-EARJACK MIC PBA_SM-A600F
GH59-15019A,"UNIT-LCD FPCB,SM-T515"
GH63-14025A,COVER-LCD CONN
GH63-15749A,COVER-NANO_SIM-SINGER
GH64-05708A,DECORATION-EJECTOR PIN
GH81-13826A,"A/S TAPE-150_90_SVC;SM-G935F,ST-850GFL,G"
GH81-13983A,"A/S-SHEET BATTERY TAPE;SM-N930F,PET-POLY"
GH82-10955C,SVC COVER ASSY-SVC REAR_EURO_MADE IN VTN
GH82-12350A,A/S ASSY-CH SET-E SM-R150NZKAXAC(L) BLK
GH82-12419A,A/S ASSY-CH SET-E SM-R150NZBAXAC(R) BLU;
GH82-12420A,A/S ASSY-CH SET-E SM-R150NZBAXAC(L) BLU;
GH82-14551A,A/S ASSY-CH SET E SM-R210NZWABTU;SM-R21;
GH82-15422A,A/S ASSY CH SET-E SM-R140NZIADBT(R);SM-R
GH82-15660D,SVC COVER ASSY-B/G
GH82-17513A,"SVC OPTION-SPEN,SM-N960F_BLACK,SVC,COMM"
GH82-18769A,"SVC CASE ASSY-CRADLE_EB-BR170ABU,COM1_ZK"
GH82-18803A,"A/S REWORK KIT-SVC;SM-G970,USB KIT COMM;"
GH82-20417A,SVC OPTION-CRADLE
GH98-40270A,ASSY ACCE-S PEN(BLACK)
GH98-40749A,ASSY CASE-BAND HOLE S
GH97-22290A,SVC ASSY SMT-OCTA (E/SIL) SM-R815U
GH81-15112A,"SVC JIG-HEATER CABLE;1190528000,COMMON,G"
GH81-15120A,"SVC JIG-SET FIXING BLOCK;1190527200,COMM"
GH81-16694A,"SVC JIG-FIXNG BLOCK SIDE;GLOBAL ,SVC,124"
GH81-15439A,SVC JIG-HEATER LOWER CABLE (GROUND);1211
GH97-22199A,SVC ASSY SMT-OCTA(E/BLK)
GH02-16151A,TAPE DOUBLE FACE-BACK GLASS BTM
GH02-16152A,TAPE DOUBLE FACE-BACK GLASS L
GH02-16156A,TAPE DOUBLE FACE-BACK GLASS TOP
GH02-16157A,TAPE DOUBLE FACE-BACK GLASS R
GH02-16149A,TAPE DOUBLE FACE-MAIN WINDOW REAR BTM
GH02-16150A,TAPE DOUBLE FACE-MAIN WIND REAR L
GH02-16155A,TAPE DOUBLE FACE-MAIN WINDOW REAR TOP
GH02-16175A,TAPE DOUBLE FACE-MAIN WINDOW REAR R
GH82-17805A,"A/S REWORK KIT-SVC;SM-T835,COMMON;SM-T83"
GH81-17731C,"SVC JIG-POGO JIG;R825;1256809800,SVC JIG"
GH81-17731D,"SVC JIG-POGO JIG;R835;1256809800,SVC JIG"
GH81-18045A,"SVC JIG-USB TESTER 45W,N970;1270301000,S"
GH82-20886A,"SVC PBA-MAIN(COMM)SM-N976B/256,BTU,SVC;S"
GH98-43956B,"ASSY DECO-SIM TRAY_SINGLE_GRAY;SM-G977U,"
GH82-18406G,SVC COVER ASSY-B/G
GH82-15652E,SVC COVER ASSY-B/G
GH98-43956A,ASSY DECO-SIM TRAY_SINGLE_SILVER;SM-G977
GH82-18199A,"SVC PBA-MAIN(COMM);SM-A750FN/B64,OMN;SM-"
GH43-04280A,"INNER BATTERY PACK-EB-BG357BBE,1900MAH"
GH82-20441A,"SVC PBA-MAIN(COMM)SM-G977B/256,TEL,SVC;S"
GH59-15123A,PBA-USB SUB (SM-G977B)
GH98-40106A,ASSY RUBBER-SCREW CAP_DA
GH82-20055A,SVC COVER ASSY-B/G
GH44-03069A,ADAPTOR-EP-TA800
GH82-16021A,"SVC BATTERY ASSY-G960N,EB-BG960ABA,KOR"
GH59-14978A,UNIT SENSOR-MODULE SM-A920F
GH96-12230A,ASSY SPEAKER-SM-A920F
GH81-17227A,SVC JDM OCTA-ASSY(E/BLK)
GH02-17001A,TAPE DOUBLE FACE-MAIN WINDOW
GH82-20771A,"SVC ASSY SMT-OCTA(E/ZK)SM-T860N,DBT,SVC"
GH82-20442B,"SVC ASSY SMT-OCTA(E/ZA/PF)SM-G977B,SVC"
GH82-16930A,SVC COVER ASSY-B/G
GH82-17346A,"SVC SUB PBA-(SM-T830),SVC_USB,COMM,EUR;S"
GH43-04830A,"INCELL BATTERY PACK-EB-BT835ABU,7300,30"
GH82-13895A,SVC COVER ASSY-BACK GLASS(T820)_ZK
GH43-04431B,"INNER BATTERY PACK-EB-BT810ABE,5870MAH"
GH82-17352A,"SVC SUB PBA-(SM-T590),SVC_USB,COMM,BTU;S"
GH43-04840A,"INCELL BATTERY PACK-EB-BT595ABE,7300,30"
GH81-15670A,A/S-TAPE OCTA WINDOW CS
GH97-20448A,"SVC ASSY SMT-OCTA,(E/BLK),SM-W727V"
GH98-39558A,ASSY CASE-REAR_WIFI_ZK_SVC(SAMSUNG)
GH81-13751A,"A/S-TAPE BATT_SVC;SM-T280,A8150,TRP"
GH82-20768A,A/S REPAIR KIT-SM-T865_OCTA OUTSIDE_WW;S
GH82-20851A,SVC COVER ASSY-REAR;COMM1_T865_ZA_VN;SM-
GH82-20770A,"SVC BATT ASSY-EB-BT725ABU,30,DBT,SM-T865"
GH82-20766A,"SVC SUB PBA-SM-T865_USB_SM-T865,WW;SM-T8"
GH82-20850A,SVC COVER ASSY-REAR
GH82-20762A,"SVC SUB PBA-SM-T860_USB_SM-T860,WW;SM-T8"
GH97-23184A,MEA DISPLAY-OCTA
GH82-19455A,SVC COVER ASSY-REAR
GH81-16873A,A/S-TAPE_BATTERY_SVC
GH43-04928A,"INCELL BATTERY PACK-EB-BT725ABU,6840,30"
GH82-19848A,"SVC SUB PBA-SM-T725N,SVC_USB PBA,COMM;SM"
GH43-04936A,"INCELL BATTERY PACK-EB-BT515ABU,6000,30"
3710-004349,SOCKET-BOARD TO BOARD
GH97-21070A,"SVC ASSY SMT-OCTA(E/BLK),SM-N950U"
GH02-14908A,TAPE DOUBLE FACE-BATTERY
GH82-18852C,"SVC ASSY SMT-OCTA(E/ZB/PF)G970F,OPS,SVC"
GH82-14027F,SVC COVER ASSY-B/GLASS_ZD
GH82-20588A,SVC COVER ASSY-B/G
GH82-18834A,SVC ASSY SMT-OCTA(SVC/E/ZK)
GH97-20564D,"SVC ASSY SMT-OCTA,(SVC/E/BLUE)"
GH98-42575B,ASSY SIM TRAY-DUAL_ZP
GH82-13990D,SVC COVER ASSY-B/GLASS
GH02-16515A,TAPE PET-OCTA WINDOW
GH42-06199A,ANTENNA-SUB_SM-G975F
GH81-13479A,"A/S-SVC TAPE_MAIN WINDOW;SM-W700,YT-7725"
GH42-05883A,ANTENNA-MAIN_(SM-A320F)
GH42-05930A,ANTENNA COIL-NFC_SM-A320FL
GH96-10426A,ASSY SPEAKER-MODULE(SM-A320F)
GH96-12741A,ASSY SUB PBA-MODULE_SM-N976B
GH59-15114A,UNIT-CTC FPCB_SM-N976B
GH59-15118A,UNIT-FRC FPCB_SM-N976B
GH98-41921A,ASSY SIM TRAY-DUAL
GH82-17513C,"SVC OPTION-SPEN,SM-N960F_LAVEND,SVC,COMM"
GH98-43582A,ASSY BRACKET-SPK TOP
GH02-14857A,TAPE DOUBLE FACE-WINDOW TOP
GH82-17589A,"SVC PBA-MAIN(COMM),SM-N960F/512,DBT,SVC"
GH96-08253C,ASSY US FP-GOLD (SM-G925F)
GH98-42650C,ASSY SIM TRAY-(DS)_ZA
GH82-15875C,SVC COVER ASSY-B/G
GH98-42575D,ASSY SIM TRAY-DUAL_ZB
GH82-18850G,SVC ASSY SMT-OCTA(E/ZS)
GH98-41911C,ASSY CASE-FRONT_ZD
GH02-14855A,TAPE DOUBLE FACE-TSP WINDOW
GH64-06366A,DECORATION-SIM TRAY HYBRID SINGLE_ZK
GH64-06278A,DECORATION-SIM TRAY NANO SINGLE
GH96-10801B,ASSY US FP-SM-J530FM_BLACK
GH98-43188A,ASSY STRAP-RUBBER BUCKLE
GH98-43187A,ASSY STRAP-RUBBER L
GH59-15212A,UNIT SENSOR-BAROMETER RFPCB (R825F) 2
GH59-15165A,UNIT SENSOR-BAROMETER RFPCB ASS'Y
GH82-20901A,SVC COVER ASSY-REAR
GH59-15076A,CON TO CON FPCB-SM-A705FN
GH82-14111F,SVC COVER ASSY-B/GLASS
GH96-10043A,ASSY CAMERA-8M AF_SM-T585
GH81-15599A,"A/S TAPE-MAIN WINDOW;SM-A605F,SVC,WP4035"
GH82-16480A,"SVC BATTERY ASSY-SM-A605F,EB-BJ805ABE"
GH81-15604A,"SVC JIG-SMPS,SMPS;1217029900,COMMON,GLOB"
GH81-15123A,"SVC JIG-VACUUM PUMP;1190526900,COMMON,GL"
GH97-22290B,SVC ASSY SMT-OCTA (E/GOLD) SM-R810
GH82-07841A,"SVC PBA-PBA MAIN(COMM)SM-P605,M16,SVC;SM"
GH82-15406A,"SVC PBA-MAIN(COMM),SM-T395/16,ITV;SM-T39"
GH81-15177A,"A/S-SVC TAPE FRONT OCTA;SM-A530N,ANYONE"
GH82-21412A,A/S ASSY CH SET-E SM-R170NZSAXAR(R)_EVE
GH82-21411A,A/S ASSY CH SET-E SM-R170NZSAXAR(L)_EVE
GH96-12542A,ASSY SUB PBA-MODULE (SM-A805F)
GH39-02032A,DATA LINK CABLE-EP-DA905BWE
GH97-23445A,MEA REAR-SM-A705FN_E_ZK
GH82-16865A,"SVC BATTERY ASSY-SM-J600FN,EB-BJ800ABE"
GH82-16866D,SVC COVER ASSY-REAR
GH98-42952A,ASSY CASE-FRONT_PROD
GH82-21620A,"SVC ASSY SMT-OCTA(E/ZK/SE)SM-N975,STARWA"
GH82-21630A,SVC COVER ASSY-B/G;COMM1_ZK_N975F/DS_KR;
GH82-20793G,"SVC OPTION-SPEN,SM-N975/N970;BLK,STARWAR"
GH42-06047A,ANTENNA-SUB (SM-G960F)
GH39-02004A,DATA LINK CABLE-ECB-DU68WE
GH94-26291A,ASSY BATTERY CHARGING-SM-S102;EB-BA202AB
GH59-15030A,CON TO CON FPCB-OCTA (SM-A505F)
GH96-10806A,ASSY VT CAMERA-13M_SM-J730FM
GH44-02989A,ADAPTOR-EP-TA20UBE
GH43-03701B,"INNER BATTERY PACK-EB425161LU,1500MAH"
GH82-14015E,"SVC COVER ASSY-B/GLASS_ZI;SM-G955F,EUR,V"
GH82-16920A,SVC COVER ASSY-B/G
GH98-44514C,ASSY SIM TRAY-SINGLE_ZS
GH96-11891A,"ASSY STYLUS PEN-SM-T83_BLACK;SM-T835,W/W"
GH59-11720H,HEADSET-EHS64AVFWE 3.5PI 4P
GH82-19200A,"A/S ASSY CH SET-E SM-R375NZKADBT,BLK,SVC"
6001-003262,SCREW-MACHINE
GH02-13563A,GRAPHITE THERMAL SHEET-CU SHEET
GH63-16216A,"COVER-LCD CONN;SM-J610F,PC+GF,BLACK"
GH63-16898A,"COVER-FINGER_SENSOR_CONN;SM-A405F,PC,BLA"
GH81-17188A,"SVC JDM-SUB PBA SM-T295,SVC"
GH82-17467A,SVC COVER ASSY-REAR
GH82-18492A,SVC COVER ASSY-B/G
GH82-18797A,"SVC ASSY SMT-OCTA(E/BLK)SM-R500/4,SVC"
GH82-19656A,"SVC PBA-MAIN(SVC/COMM),SM-A405FN/64D"
GH82-19787A,"SVC ASSY SMT-OCTA(SVC/E/ZK)SM-A7050,CHC"
GH82-19793A,"SVC PBA-MAIN (SVC/COMM),SM-A705FN/1D"
GH82-21410A,A/S ASSY CH SET-E SM-R170NZKAXAR(R)_EVE
GH98-39666C,ASSY CRADLE-CRADLE_EU
GH98-42463A,ASSY RUBBER-SCREW CAP
GH63-12182A,COVER-SIM SOCKET
GH98-39387A,ASSY CASE-REAR_GLOBAL
GH43-04599A,"INNER BATTERY PACK-EB-BJ710CBE,3300MAH"
GH96-09673A,"ASSY VT CAMERA-MODULE_2M_1/5""_SM-T280"
GH96-09502A,"ASSY CAMERA-MODULE_5M_1/4""_SM-G388F"
GH59-14984A,HEADSET-YBD-18HS-002-WHITE
GH98-43936A,ASSY STRAP-RUBBER BUCKLE
GH98-43935A,ASSY STRAP-RUBBER L
GH98-37179D,ASSY CASE-REAR (EVR/ZK)_S_SVC
GH97-17424D,SVC ASSY SMT-LCD (E/BLACK)
GH02-12681A,TAPE DOUBLE FACE-MAIN_WINDOW_R
GH02-12680A,TAPE DOUBLE FACE-MAIN_WINDOW_L
GH02-12679A,TAPE DOUBLE FACE-MAIN_WINDOW_BTM
GH02-12678A,TAPE DOUBLE FACE-MAIN_WINDOW_TOP
GH82-15875D,SVC COVER ASSY-B/G
GH82-21672C,"SVC ASSY SMT-OCTA(E/ZB),SM-G770F,XEF,SVC"
GH82-21670C,SVC COVER ASSY-B/G
GH98-44992C,ASSY SIM TRAY-DUAL_ZB
GH82-21673A,"SVC BATT ASSY-MAIN,G770F,EB-BA907ABY,30,"
GH02-20108A,TAPE DOUBLE FACE-BACK COVER OUT
GH02-19865A,TAPE DOUBLE FACE-DECO BTM_2
GH82-21671A,"SVC PBA-MAIN(COMM)SM-G770F/1R8D,XEF"
GH96-12916A,ASSY SUB PBA-MODULE_SM-G770F
GH82-22055A,"SVC ASSY SMT-OCTA(E/ZK)SM-N770,PHE,AS"
GH82-21972A,SVC COVER ASSY-B/G;COMM1_ZK_N770F_VN;SM-
GH98-45189A,ASSY SIM TRAY-DUAL_ZK
GH96-13034A,ASSY STYLUS PEN-SM-N770F
GH82-22054A,"SVC BATT ASSY-MAIN,N770F,EB-BN770ABY,30,"
GH02-20414A,TAPE DOUBLE FACE-BACK COVER OUT
GH82-22183A,SVC PBA-MAIN(COMM)SM-N770F/1R6D
GH96-13050A,ASSY SUB PBA-SM-N770F
GH98-40738C,ASSY SIM TRAY-ZB
GH98-40738B,ASSY SIM TRAY-ZD
GH02-14938A,TAPE DOUBLE FACE-BATTERY CELL ASSY
GH82-18850C,SVC ASSY SMT-OCTA(E/ZB)
GH82-12948A,"SVC PBA-PBA MAIN(COMM),SM-R770"
GH82-11604A,"SVC PBA-PBA MAIN(COMM),SM-T285/M8;SVC;SM"
GH82-18381A,SVC COVER ASSY-B/G
GH82-16920E,SVC COVER ASSY-B/G
GH82-20588C,SVC COVER ASSY-B/G;COMM1_ZS_N975F/DS_VN;
GH82-15064A,SVC COVER ASSY-REAR SVC_SM-R365_EUR_B_ZK
GH96-09938D,ASSY METAL REAR UNIT-A310F OPEN/ZI_SEVT
GH82-10263A,SVC COVER ASSY-REAR_T815(OPEN/ZK)
GH82-09600E,SVC COVER ASSY-B/GLASS
GH82-12445B,SVC COVER ASSY-REAR SVC-SPAIN_ZI;SM-R360
GH43-04451A,"INNER BATTERY PACK-EB-BT561ABE,5000MAH"
GH98-37898B,ASSY COVER-BATT
GH98-37363D,ASSY CASE-REAR_ZK_MADE BY SAMSUNG_SVC
GH59-14965A,"CON TO CON FPCB-MAIN,SM-A750F"
GH59-14860A,KEY FPCB-HALL IC
GH98-27834A,ASSY KEY-VOLUME
GH98-34516A,ASSY KEY-POWER KEY V2
GH02-18440A,TAPE DOUBLE FACE-HR TOP
GH02-14877A,TAPE DOUBLE FACE-BATTERY TAPE
GH64-06278C,DECORATION-SIM TRAY NANO SINGLE
GH02-18441A,TAPE DOUBLE FACE-HR BTM L
GH02-14858A,TAPE DOUBLE FACE-WINDOW BTM
GH63-17381A,"PROTECTOR VINYL-CAM LOWER;SM-A805F,PET,Y"
GH98-40702A,ASSY RUBBER-AIRVENT_PBA
GH63-12737A,COVER-SIM
GH02-10645A,TAPE DOUBLE FACE-OCTA FPCB BEND
GH96-07274A,ASSY CAMERA-SM_T700 8M AF
GH59-15012A,KEY FPCB-SIDE KEY (SM-M205F)
GH59-15138A,CON TO CON FPCB-MAIN_SM-A105FN
GH59-15047A,CON TO CON FPCB-SUB SM-A405FN
GH96-12163A,"ASSY CAMERA-1/2.55""_12M(SM-G970F)"
GH59-14419A,"KEY FPCB-SIDE(T815);SM-T815,VFT0815-0104"
GH98-40617A,ASSY STRAP-LEATHER S
GH98-40618A,ASSY STRAP-LEATHER BUCKLE
GH82-12954A,SVC COVER ASSY-SVC REAR_ EU OPEN
GH39-01971A,DATA LINK CABLE-TYPE C TO A(WW)
GH82-18215A,"SVC PBA-MAIN(COMM);SM-J415FN/B3D,COS;SM-"
GH82-18271A,SVC COVER ASSY-REAR;EUROPE ONLY(B)_ZK_VN
GH98-43530A,ASSY CASE-FRONT_ZK
GH42-06118A,ANTENNA-SUB (SM-N960F)
GH39-01801A,DATA LINK CABLE-WW / 5.4T / PET
GH98-42575C,ASSY SIM TRAY-DUAL_ZA
GH59-13300A,UNIT-GT_I9200 PWR KEY
GH59-13315A,MODULE-GT_I9200 RCV+SENSOR
GH59-13546A,UNIT-GT_I9205 SUB PCB
GH59-14206A,UNIT-IF FPCB (SM_T365)
GH64-02243A,KEY-POWER
GH98-27862A,ASSY CASE-REAR LTE
GH98-31721A,"ASSY DECO-CAMERA;SM-G900F,SILVER,2389,,,"
GH98-41672A,ASSY RUBBER-BATT PCM_V2
GH82-14985D,SVC COVER ASSY-B/G
GH96-07861A,"ASSY REAR UNIT-SPK,INTENNA(T365/NG)"
GH44-03034A,ADAPTOR-EP-TA200
GH96-06185A,POWER_KEY FPCB ASSY-KEY PBA(GT-N7100)
GH82-18746A,"A/S ASSY CH SET-E SM-R170NZWAATO(L),"
6001-003376,SCREW-MACHINE
6001-003327,SCREW-MACHINE
GH97-18966A,"SVC ASSY SMT-OCTA,(E/BLK)"
GH82-19015A,"SVC PBA-MAIN(COMM),SM-G973F/512"
GH39-02031A,DATA LINK CABLE-EP-DN970BBE
GH98-43997A,ASSY CASE-FRONT
GH82-11957A,"SVC SUB PBA-IF SUB PBA;SM-T813,EUR,SVC;S"
GH97-14694A,"SVC ASSY SMT-OCTA (E/WHT),GT-I9505"
GH81-17427A,SVC JDM BATT-SCUD/SWD-WT-N8
GH81-17303A,SVC JDM-REAR ZK_SM-T290_COMMON TYPE 1;SM
GH82-18271C,SVC COVER ASSY-REAR;EUROPE ONLY(B)_ZI_VN
GH59-15181A,UNIT-USB PBA_SM-M307F
GH82-22215A,"SVC ASSY SMT-OCTA(E/ZK/PF)SM-F700,ITV,AS"
GH82-17728A,SVC PBA-MAIN(COMM)
GH39-02030A,DATA LINK CABLE-EP-DA905BBE
GH97-23445B,MEA REAR-SM-A705FN_E_ZW
GH81-13134A,"A/S-TAPE_THERMAL-OCTA;SM-T815,TAPE OCTA"
GH82-11956A,SVC PBA-PBA MAIN(COMM)
GH82-18797B,"SVC ASSY SMT-OCTA(E/SIL).SM-R500/4,SVC"
GH96-12576A,"ASSY CAMERA-1/2.8""_32M(SM-A705FN)"
GH98-36517D,ASSY STYLUS PEN-SM-P355(BLACK)
GH82-17760A,SVC PBA-MAIN(COMM)
GH82-16866A,SVC COVER ASSY-REAR
GH82-21195A,"SVC ASSY SMT-OCTA(E/ZS/PF)SM-F907B,5G"
GH82-20135A,"SVC BATT ASSY-SUB,EB-BF901ABU,30,"
GH82-21209A,"SVC BATT ASSY-MAIN,F907,EB-BF907ABA,30"
GH81-17864A,A/S TAPE-SUB_UB
GH81-17866A,A/S TAPE-BACK_GLASS(5G)
GH82-15338A,"SVC PBA-MAIN(COMM),SM-R600N"
GH82-15357A,SVC COVER ASSY-REAR_OPEN(RED)_B
GH97-21691C,SVC ASSY SMT-OCTA ASSY(E/GRAY)
GH97-21691E,SVC ASSY SMT-OCTA ASSY(E/GOLD)
GH82-18850H,SVC ASSY SMT-OCTA(E/ZR)
GH82-18852F,"SVC ASSY SMT-OCTA(E/ZS);SM-G970F,OPS,SVC"
GH82-18849G,SVC ASSY SMT-OCTA(E/ZS)
GH82-20888A,"SVC PBA-MAIN(COMM)SM-N976B/512,BTU,SVC"
GH97-20738B,SVC ASSY SMT-OCTA(E/SILVER)SM-J530
GH82-18025A,"SVC PBA-MAIN(COMM);SM-J610FN/B3D,SVC;SM-"
GH61-08201B,GUIDE-MICRO SD TRAY(BLACK)_SS
GH42-05891A,ANTENNA COIL-NFC_MST(SM-A520F)
GH02-16494A,TAPE PET-HR
GH82-17872A,SVC COVER ASSY-REAR;COMM1_ZK_J610FN_VN;S
GH02-17129A,TAPE PET-HR
GH42-05986A,ANTENNA COIL-NFC_SM-J330FN
GH02-12337A,TAPE DOUBLE FACE-MESH RCV
GH81-15671A,"A/S-TAPE PET-HR CS;SM-J600F,TTI 2100GDR#"
GH96-12109A,ASSY US FP-KEY FPCB-SM-J610F
GH59-14648A,UNIT SENSOR-FPCB OPTICAL HRM SENSOR
GH67-03176A,"RUBBER-O RING REAR;SM-R360,SI,GRAY"
GH82-14956A,"SVC PBA-MAIN(COMM),SM-R365"
GH96-10411B,ASSY FRONT UNIT-R732 WHEEL ASSY GOLDSVC
GH98-40541A,ASSY CASE-WHEEL
GH82-18761D,SVC COVER ASSY-REAR
GH82-19268A,"SVC PBA-MAIN (COMM),SM-R500/4,SVC"
GH02-16619A,TAPE DOUBLE FACE-BATT BRK
GH02-16631A,TAPE DOUBLE FACE-BATT BRK
GH98-39721B,ASSY CASE-BAND HOLE L_V3_ZW
GH98-39722B,ASSY CASE-BAND BUCKLE L_V3_ZW
GH98-40616A,ASSY STRAP-LEATHER L
6001-003193,SCREW-MACHINE
6002-001429,SCREW-TAPPING
GH67-03788A,"RUBBER-SCREW CAP;SM-R365,SI,BLACK"
GH81-17135A,SVC JDM-ETC SCREW_M1.4X2.0X5.5X0.5.0.3
GH81-17136A,SVC JDM-ETC SCREW_M1.4X3.0X2.5X0.5.0.3
GH81-17137A,SVC JDM-ETC SCREW_M1.4X2.0X2.5X0.5.0.3
GH98-40106C,ASSY RUBBER-SCREW CAP_ZB
GH02-12659A,TAPE PET-FFC HOMEKEY
GH02-16069A,TAPE PET-TAPE ZIP T
GH02-16102A,TAPE PET-PCB
GH43-04451B,"INNER BATTERY PACK-EB-BT561ABE,5000MAH"
GH81-15414A,A/S-LCD FPCB TAPE
GH82-20048A,"SVC PBA-MAIN (COMM),SM-T510/32"
GH96-09957A,"ASSY SPEAKER-SPK R(SM-T585);1612,2.7MM,0"
GH02-10478A,TAPE DOUBLE FACE-MAIN_WINDOW_L
GH59-14441A,MIC FPCB-SM-T710
GH59-14447A,UNIT SENSOR-RGB SENSOR FPCB ASSY
GH59-14631A,UNIT-SM-T719 OCTA LINK
